experiment,run_id,tokenizer,status,best_val_loss,best_bpc,best_step,final_step,elapsed_h,peak_vram_gb,tokens_seen,metrics_csv,generation_md,summary_file,hf_model
exp01_full,day1_local_morph8k,morph_bpe_8k,completed,3.322887,0.155985,13000,14999,2.617,2.640,491520000,results/logs/exp01_full/day1_local_morph8k/morph_bpe_8k_metrics.csv,results/logs/exp01_full/day1_local_morph8k/morph_bpe_8k_generation.md,results/logs/exp01_full/day1_local_morph8k/morph_bpe_8k_summary.json,https://huggingface.co/faresrafat/AraStudy-Morph8K-25M
exp01_full,night1_bpe_16k,bpe_16k,completed,4.072959,1.733176,16500,18204,0.098,3.549,16384000,results/logs/exp01_full/night1_bpe_16k/bpe_16k_metrics.csv,results/logs/exp01_full/night1_bpe_16k/bpe_16k_generation.md,results/logs/exp01_full/night1_bpe_16k/bpe_16k_summary.json,https://huggingface.co/faresrafat/AraStudy-BPE16K-29M
exp01_full,night1_bpe_32k,bpe_32k,completed,4.403984,1.710173,12500,14499,3.361,2.826,475136000,results/logs/exp01_full/night1_bpe_32k/bpe_32k_metrics.csv,results/logs/exp01_full/night1_bpe_32k/bpe_32k_generation.md,results/logs/exp01_full/night1_bpe_32k/bpe_32k_summary.json,https://huggingface.co/faresrafat/AraStudy-BPE32K-37M
exp01_full,night2_bpe_8k,bpe_8k,completed,3.841254,1.827454,10500,12499,2.149,2.611,409600000,results/logs/exp01_full/night2_bpe_8k/bpe_8k_metrics.csv,results/logs/exp01_full/night2_bpe_8k/bpe_8k_generation.md,results/logs/exp01_full/night2_bpe_8k/bpe_8k_summary.json,
exp01_full,night2_char,char,completed,1.215111,2.116795,5500,7499,0.974,0.745,245760000,results/logs/exp01_full/night2_char/char_metrics.csv,results/logs/exp01_full/night2_char/char_generation.md,results/logs/exp01_full/night2_char/char_summary.json,
exp01_full,night2_morph_bpe_16k,morph_bpe_16k,completed,3.476209,1.758961,10500,12499,2.260,1.956,409600000,results/logs/exp01_full/night2_morph_bpe_16k/morph_bpe_16k_metrics.csv,results/logs/exp01_full/night2_morph_bpe_16k/morph_bpe_16k_generation.md,results/logs/exp01_full/night2_morph_bpe_16k/morph_bpe_16k_summary.json,
exp01_sanity,exp01_sanity_single,bpe_16k,completed,8.006859,,250,300,,,,results/logs/exp01_sanity/bpe_16k_metrics.csv,,results/logs/exp01_sanity/bpe_16k_summary.txt,https://huggingface.co/faresrafat/AraStudy-BPE16K-29M
exp01_sanity,exp01_sanity_single,bpe_32k,completed,8.331104,,300,300,,,,results/logs/exp01_sanity/bpe_32k_metrics.csv,,results/logs/exp01_sanity/bpe_32k_summary.txt,https://huggingface.co/faresrafat/AraStudy-BPE32K-37M
exp01_sanity,exp01_sanity_single,bpe_8k,completed,7.591602,,300,300,,,,results/logs/exp01_sanity/bpe_8k_metrics.csv,,results/logs/exp01_sanity/bpe_8k_summary.txt,
exp01_sanity,exp01_sanity_single,char,completed,2.519621,,300,300,,,,results/logs/exp01_sanity/char_metrics.csv,,results/logs/exp01_sanity/char_summary.txt,
exp01_sanity,exp01_sanity_single,morph_bpe_16k,completed,7.040647,,250,300,,,,results/logs/exp01_sanity/morph_bpe_16k_metrics.csv,,results/logs/exp01_sanity/morph_bpe_16k_summary.txt,
exp01_sanity,exp01_sanity_single,morph_bpe_8k,completed,6.700375,,300,300,,,,results/logs/exp01_sanity/morph_bpe_8k_metrics.csv,,results/logs/exp01_sanity/morph_bpe_8k_summary.txt,https://huggingface.co/faresrafat/AraStudy-Morph8K-25M
